Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Jan Bednarek,pl POL,DF,28,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pl POL,DF,28,28.1,2,5,2,40.0,0.18,0.07,0.40,1.00,16.0,0,0,0,0.13,+1.3,+1.3,Matches,Southampton,1564,1687,92.7,27781,8925,590,620,95.2,856,903,94.8,105,137,76.6,0,0.5,0.9,-0.5,5,72,1,0,60,1687,1606,79,33,0,7,1,1,0,0,0,0,1564,2,4,16,0.57,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5,2049,386,1091,924,41,15,2049,3,3,100.0,0,0.0,1046,3845,1742,5,5,1,9,3,1307,2,84,74.0,30,84,26,0,N/a,0,0.37,19,57,-38,-1.35,+0.88,23.8,56.5,-32.6,-1.16,+0.81,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7
Jay Robinson,eng ENG,"MF,FW",17,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,3,1,10,0.00,0.00,0.00,0.00,0.00,0.03,0.44,0.47,0.03,0.47,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",17,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,13.2,0,0,0,0.05,0.0,0.0,Matches,Southampton,23,34,67.6,264,100,14,17,82.4,6,8,75.0,1,4,25.0,0,0.7,0.5,-0.7,3,1,1,0,1,34,34,0,0,0,0,1,0,0,0,0,0,23,0,2,8,5.26,4,0,3,1,0,0,1,0.66,0,0,0,1,0,0,4,1,3,0,1,1,1,100.0,0,0,0,0,0,4,1,0,54,4,15,18,22,5,54,11,6,54.5,5,45.5,33,188,92,3,2,1,1,6,29,10,34,4.0,1,78,0,3,20,1,0.00,1,2,-1,-0.66,+0.96,1.6,3.2,-1.6,-1.08,+0.30,0,3,1,0,1,0,1,0,0,0,12,0,1,0.0
Jayden Moore,N/a,DF,N/a,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Joachim Kayi Sanda,fr FRA,DF,17,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,DF,17,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,N/a,0.0,0.0,Matches,Southampton,15,15,100.0,304,57,3,3,100.0,11,11,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,2,2,0,0,19,1,8,10,1,1,19,0,0,N/a,0,N/a,14,63,35,0,0,0,1,0,15,0,7,0.4,0,N/a,0,2,7,0,0.00,0,1,-1,-6.43,-4.87,0.9,0.2,+0.6,+4.14,+5.54,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0
Joe Aribo,ng NGA,"MF,DF",28,32,21,2013,22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0.00,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ng NGA,"MF,DF",28,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14.0,0,0,0,0.16,+0.3,+0.3,Matches,Southampton,929,1046,88.8,13689,2630,514,563,91.3,357,391,91.3,31,45,68.9,0,1.6,1.3,-1.6,16,51,4,1,75,1046,1032,13,4,2,1,10,4,0,0,0,0,929,1,15,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0,47,33,17,24,6,17,35,48.6,18,28,11,17,20,67,32,3,1271,52,313,670,299,44,1271,49,21,42.9,22,44.9,745,4068,2021,36,29,12,27,19,925,65,63,58.9,21,79,8,11,32,6,0.34,17,56,-39,-1.74,-0.40,19.4,55.1,-35.7,-1.60,-0.54,0,20,28,1,10,20,33,0,1,0,112,25,24,51.0
Joe Lumley,eng ENG,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Southampton,eng ENG,GK,29.0,3.0,270.0,7.0,2.33,20.0,13.0,65.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,Matches,Southampton,1.0,0.0,7.7,0.39,0.7,0.22,15.0,50.0,30.0,135.0,14.0,34.1,30.0,15.0,26.7,24.0,56.0,2.0,3.6,7.0,2.33,18.0,eng ENG,GK,29,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,N/a,0.0,0.0,Matches,Southampton,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0,151,128,22,7,0,0,0,0,0,0,0,0,106,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,0,0,3,3,164,116,161,3,0,0,164,0,0,N/a,0,N/a,103,476,296,0,0,0,0,0,108,0,90,7.9,3,90,3,0,N/a,5,0.33,2,7,-5,-1.67,-0.10,2.8,9.1,-6.3,-2.09,-0.77,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Joe O'Brien-Whitmarsh,ie IRL,MF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Kamaldeen Sulemana,gh GHA,"FW,MF",22,26,17,1402,15.6,1,1,2,1,0,0,2,0,1.5,1.5,1.0,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.10,0.06,0.16,0.10,0.16,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gh GHA,"FW,MF",22,15.6,1,29,8,27.6,1.86,0.51,0.03,0.13,18.6,0,0,0,0.05,-0.5,-0.5,Matches,Southampton,285,357,79.8,4101,627,177,201,88.1,86,103,83.5,13,28,46.4,1,1.0,0.8,0.0,10,6,13,7,27,357,354,2,0,0,2,26,2,0,0,0,0,285,1,9,30,1.93,15,1,10,3,1,0,3,0.19,1,0,1,1,0,0,22,17,9,5,8,10,15,66.7,5,16,4,12,6,28,9,0,587,17,92,219,301,59,587,103,39,37.9,56,54.4,380,3283,1620,63,37,28,50,25,410,87,54,41.0,17,74,5,9,16,2,0.27,11,36,-25,-1.60,-0.04,10.0,34.8,-24.7,-1.59,-0.36,0,22,11,3,26,6,17,0,0,0,63,13,27,32.5
Kyle Walker-Peters,eng ENG,DF,27,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.00,0.06,0.06,0.00,0.06,0.03,0.09,0.11,0.03,0.11,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,27,32.4,0,20,6,30.0,0.62,0.19,0.00,0.00,18.3,0,0,0,0.04,-0.8,-0.8,Matches,Southampton,1493,1693,88.2,22418,6584,832,886,93.9,573,637,90.0,56,93,60.2,2,2.8,2.3,-0.8,24,119,30,4,139,1693,1500,190,36,5,2,51,144,3,0,0,0,1493,3,33,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1,2022,151,615,884,540,59,2022,92,38,41.3,39,42.4,1271,7917,4373,114,72,24,32,39,1433,144,88,85.3,33,88,29,0,N/a,2,0.30,23,77,-54,-1.67,-0.59,26.6,74.2,-47.7,-1.47,-0.67,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4
Lesley Ugochukwu,fr FRA,MF,20,26,18,1655,18.4,1,1,2,1,0,0,7,0,0.9,0.9,1.0,1.9,29,49,20,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.10,0.05,0.10,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,MF,20,18.4,1,10,1,10.0,0.54,0.05,0.10,1.00,17.0,0,0,0,0.09,+0.1,+0.1,Matches,Southampton,600,706,85.0,9335,2081,289,327,88.4,265,292,90.8,23,38,60.5,1,1.0,0.6,0.0,14,54,7,1,49,706,697,9,9,2,0,6,0,0,0,0,0,600,0,11,24,1.30,20,0,1,1,2,0,1,0.05,0,0,0,1,0,0,50,24,16,30,4,18,36,50.0,18,27,10,17,14,64,23,2,879,50,215,501,169,24,879,28,19,67.9,8,28.6,479,2565,1229,29,15,6,12,13,600,20,64,48.4,18,77,4,8,33,6,0.42,13,39,-26,-1.41,+0.32,13.5,39.5,-26.0,-1.41,-0.08,0,31,16,0,6,14,24,0,1,0,67,20,18,52.6
Mateus Fernandes,pt POR,MF,20,36,34,2909,32.3,2,4,6,2,0,0,8,0,4.0,4.0,3.0,7.0,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,MF,20,32.3,2,42,14,33.3,1.30,0.43,0.05,0.14,18.7,4,0,0,0.10,-2.0,-2.0,Matches,Southampton,1087,1361,79.9,18406,4369,510,580,87.9,415,483,85.9,110,196,56.1,4,3.0,3.6,+1.0,34,98,27,6,145,1361,1184,175,61,9,10,113,10,54,39,14,0,1087,2,36,78,2.41,44,14,6,6,6,2,7,0.22,4,2,0,0,0,1,89,48,45,28,16,33,72,45.8,39,43,8,35,28,117,35,7,1760,72,385,867,547,49,1760,109,49,45.0,49,45.0,897,5736,3143,76,70,9,58,36,1077,108,81,85.1,34,84,19,2,30,0,0.33,25,66,-41,-1.27,+2.08,27.4,69.2,-41.7,-1.29,+0.55,0,46,55,4,113,28,48,0,0,0,179,15,9,62.5
Maxwel Cornet,ci CIV,FW,27,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ci CIV,FW,27,0.8,0,1,0,0.0,1.25,0.00,0.00,N/a,18.8,0,0,0,0.16,-0.2,-0.2,Matches,Southampton,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,22,20,2,0,0,0,3,0,2,2,0,0,17,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,36,2.1,1,45,0,1,27,3,0.00,0,4,-4,-5.00,-3.49,0.2,1.7,-1.5,-1.86,-0.49,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
Nathan Wood-Gordon,eng ENG,DF,22,11,9,773,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,22,8.6,0,2,0,0.0,0.23,0.00,0.00,N/a,5.9,0,0,0,0.12,-0.2,-0.2,Matches,Southampton,444,476,93.3,7532,1915,183,192,95.3,240,248,96.8,17,27,63.0,0,0.0,0.0,0.0,1,11,0,0,17,476,465,10,4,0,0,3,1,0,0,0,0,444,1,1,3,0.35,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,8,8,5,1,8,11,72.7,3,9,6,3,5,19,39,2,564,75,282,255,28,3,564,6,4,66.7,1,16.7,313,1352,535,2,6,0,5,1,419,0,70,22.6,9,77,6,2,42,14,0.09,3,20,-17,-1.98,-0.52,6.1,21.1,-15.0,-1.75,-0.48,0,9,4,0,3,5,8,0,0,0,20,15,8,65.2
Opponent Total,N/a,N/a,26.2,38,418,3420,38.0,86,61,147,79,7,9,54,1,84.8,77.9,63.0,140.9,814,1647,1635,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71,N/a,Southampton,N/a,N/a,26.2,38.0,3420.0,26.0,0.68,108.0,81.0,75.9,30.0,6.0,2.0,16.0,42.1,2.0,0.0,2.0,0.0,100.0,N/a,Southampton,2.0,1.0,29.8,0.27,4.8,0.13,103.0,356.0,28.9,989.0,129.0,30.2,32.1,176.0,32.4,29.8,443.0,35.0,7.9,37.0,0.97,15.4,N/a,N/a,26.2,38.0,86,672,236,35.1,17.68,6.21,0.12,0.33,16.3,18,7,9,0.12,+1.2,+1.1,N/a,Southampton,16575,19683,84.2,277016,92382,7944,8739,90.9,7112,7939,89.6,1153,2153,53.6,61,63.0,50.1,-2.0,521,1359,421,86,1647,19683,18108,1526,474,73,70,758,570,242,151,40,4,16575,49,287,1207,31.76,870,84,72,92,51,38,144,3.79,94,12,11,14,7,6,688,405,257,295,136,333,645,51.6,312,359,124,235,311,999,753,11,23778,2130,6772,9945,7290,1263,23769,661,304,46.0,280,42.4,13724,72045,37999,814,548,300,429,372,16411,1635,90,100,418,80,249,168,19,172,2.53,86,26,+60,+1.58,N/a,84.8,32.7,+52.1,+1.37,N/a,0,435,445,49,758,311,405,7,2,1,1635,421,468,47.4
Paul Onuachu,ng NGA,FW,30,25,11,1050,11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ng NGA,FW,30,11.7,4,34,15,44.1,2.91,1.29,0.12,0.27,10.4,0,0,0,0.11,+0.4,+0.4,Matches,Southampton,160,263,60.8,2292,365,84,134,62.7,45,70,64.3,12,19,63.2,1,0.5,0.3,+0.5,8,13,2,0,13,263,261,0,0,0,4,0,0,0,0,0,0,160,2,8,9,0.77,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1,440,17,45,235,163,67,440,26,8,30.8,14,53.8,214,857,248,7,5,2,50,36,358,40,42,30.7,11,72,4,14,19,3,0.36,11,26,-15,-1.29,+0.42,10.5,23.5,-13.0,-1.12,+0.37,0,28,16,10,0,1,2,0,0,0,19,93,59,61.2
