Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
João Gomes,br BRA,MF,23,36,35,2974,33.0,3,1,4,3,0,0,11,1,2.9,2.9,1.2,4.1,59,165,76,0.09,0.03,0.12,0.09,0.12,0.09,0.04,0.12,0.09,0.12,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,MF,23.0,33.0,3.0,35.0,7.0,20.0,1.06,0.21,0.09,0.43,18.3,0.0,0.0,0.0,2.9,2.9,0.08,0.1,0.1,Matches,Wolves,1380.0,1623.0,85.0,19707.0,4911.0,813.0,896.0,90.7,430.0,498.0,86.3,66.0,112.0,58.9,1.0,1.2,1.9,-0.2,23.0,122.0,24.0,1.0,165.0,1564.0,56.0,27.0,5.0,9.0,29.0,17.0,1.0,1.0,0.0,0.0,3.0,24.0,67.0,2.03,53.0,1.0,5.0,2.0,2.0,4.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,116.0,71.0,55.0,53.0,8.0,48.0,110.0,43.6,62.0,42.0,4.0,38.0,25.0,141.0,33.0,0.0,1998.0,62.0,431.0,1105.0,491.0,45.0,1998.0,65.0,30.0,46.2,28.0,43.1,1059.0,6216.0,2843.0,59.0,51.0,6.0,43.0,51.0,1335.0,76.0,83,87.0,35,84,18,1,45,0,1.08,45,58,-13,-0.39,+0.01,36.2,49.4,-13.2,-0.40,-0.15,11.0,1.0,1.0,70.0,47.0,1.0,0.0,0.0,200.0,11.0,26.0,29.7
Jørgen Strand Larsen,no NOR,FW,24,35,30,2587,28.7,14,4,18,14,0,0,4,0,10.3,10.3,3.0,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.10,0.46,0.36,0.46,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,no NOR,FW,24.0,28.7,14.0,54.0,33.0,61.1,1.88,1.15,0.26,0.42,11.3,0.0,0.0,0.0,10.3,10.3,0.19,3.7,3.7,Matches,Wolves,295.0,457.0,64.6,3818.0,697.0,182.0,254.0,71.7,73.0,112.0,65.2,14.0,20.0,70.0,4.0,3.0,1.0,1.0,21.0,19.0,4.0,1.0,29.0,443.0,14.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,42.0,1.46,33.0,1.0,1.0,3.0,2.0,2.0,6.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,3.0,5.0,4.0,27.0,14.8,23.0,19.0,4.0,15.0,6.0,16.0,29.0,0.0,736.0,36.0,85.0,348.0,304.0,108.0,736.0,20.0,8.0,40.0,11.0,55.0,345.0,1194.0,464.0,17.0,14.0,9.0,90.0,34.0,534.0,112.0,74,75.6,30,80,11,5,35,0,1.11,43,52,-9,-0.31,+0.34,32.3,43.2,-10.9,-0.38,0.00,4.0,0.0,0.0,46.0,19.0,16.0,0.0,0.0,42.0,67.0,100.0,40.1
Luke Cundle,eng ENG,MF,22,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,3,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Mario Lemina,ga GAB,"MF,DF",30,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ga GAB,"MF,DF",30.0,15.2,1.0,18.0,5.0,27.8,1.19,0.33,0.06,0.2,21.9,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,Matches,Wolves,493.0,613.0,80.4,9479.0,2966.0,176.0,207.0,85.0,249.0,284.0,87.7,58.0,95.0,61.1,3.0,1.1,1.2,1.9,10.0,43.0,13.0,4.0,48.0,582.0,26.0,9.0,6.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,5.0,7.0,26.0,1.71,21.0,0.0,2.0,2.0,0.0,1.0,5.0,0.33,5.0,0.0,0.0,0.0,0.0,0.0,51.0,31.0,27.0,19.0,5.0,20.0,29.0,69.0,9.0,12.0,7.0,5.0,27.0,78.0,50.0,3.0,809.0,92.0,324.0,378.0,119.0,18.0,809.0,16.0,10.0,62.5,4.0,25.0,382.0,2068.0,1038.0,8.0,12.0,2.0,21.0,11.0,482.0,21.0,80,39.9,15,87,13,2,30,0,0.53,22,39,-17,-1.12,-1.21,15.3,27.2,-11.9,-0.78,-0.67,4.0,0.0,0.0,17.0,8.0,4.0,1.0,0.0,73.0,25.0,16.0,61.0
Marshall Munetsi,zw ZIM,"MF,FW",28,14,12,1078,12.0,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,9,10,35,0.17,0.08,0.25,0.17,0.25,0.28,0.15,0.42,0.28,0.42,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,zw ZIM,"MF,FW",28.0,12.0,2.0,22.0,7.0,31.8,1.84,0.58,0.09,0.29,15.0,0.0,0.0,0.0,3.3,3.3,0.15,-1.3,-1.3,Matches,Wolves,152.0,212.0,71.7,1898.0,390.0,95.0,122.0,77.9,43.0,57.0,75.4,3.0,6.0,50.0,1.0,1.8,1.1,-0.8,9.0,7.0,3.0,2.0,10.0,205.0,7.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,1.75,16.0,0.0,0.0,2.0,2.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,7.0,11.0,6.0,13.0,23.0,56.5,10.0,14.0,1.0,13.0,6.0,30.0,18.0,0.0,364.0,21.0,58.0,182.0,128.0,36.0,364.0,11.0,3.0,27.3,7.0,63.6,148.0,580.0,215.0,9.0,4.0,4.0,32.0,12.0,182.0,35.0,77,31.5,12,84,9,2,35,0,1.64,18,11,+7,+0.58,+1.43,16.1,14.6,+1.5,+0.13,+0.74,0.0,0.0,0.0,19.0,10.0,3.0,0.0,0.0,35.0,29.0,23.0,55.8
Mateus Mane,pt POR,MF,16,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,MF,16.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,4.0,5.0,80.0,60.0,0.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,N/a,0.0,N/a,2.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2,0.1,0,N/a,0,1,2,4,0.00,0,0,0,0.00,+0.39,0.0,0.0,0.0,0.00,+0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Matheus Cunha,br BRA,"MF,FW",25,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.30,0.27,0.57,0.30,0.57,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,"MF,FW",25.0,28.9,15.0,110.0,44.0,40.0,3.81,1.52,0.14,0.34,20.5,12.0,0.0,0.0,8.6,8.6,0.08,6.4,6.4,Matches,Wolves,811.0,1133.0,71.6,12850.0,4384.0,460.0,539.0,85.3,228.0,300.0,76.0,87.0,197.0,44.2,6.0,7.7,5.3,-1.7,56.0,92.0,58.0,10.0,144.0,938.0,185.0,52.0,14.0,15.0,142.0,32.0,73.0,40.0,23.0,3.0,10.0,34.0,132.0,4.57,75.0,14.0,19.0,9.0,12.0,3.0,16.0,0.55,10.0,0.0,4.0,0.0,1.0,1.0,38.0,22.0,17.0,16.0,5.0,13.0,39.0,33.3,26.0,21.0,1.0,20.0,17.0,55.0,23.0,0.0,1561.0,23.0,181.0,695.0,733.0,133.0,1560.0,137.0,61.0,44.5,61.0,44.5,904.0,6724.0,3336.0,112.0,95.0,41.0,80.0,55.0,1056.0,161.0,79,75.9,29,85,19,4,31,0,0.97,41,54,-13,-0.45,-0.23,32.6,44.5,-11.9,-0.41,-0.14,4.0,0.0,0.0,42.0,71.0,8.0,1.0,0.0,125.0,13.0,29.0,31.0
Matt Doherty,ie IRL,DF,32,30,25,2109,23.4,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.6,29,79,41,0.09,0.04,0.13,0.09,0.13,0.04,0.07,0.11,0.04,0.11,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ie IRL,DF,32.0,23.4,2.0,10.0,3.0,30.0,0.43,0.13,0.2,0.67,11.4,0.0,0.0,0.0,1.0,1.0,0.1,1.0,1.0,Matches,Wolves,1078.0,1302.0,82.8,20102.0,6585.0,435.0,483.0,90.1,514.0,591.0,87.0,115.0,186.0,61.8,1.0,1.5,1.2,-0.5,12.0,94.0,15.0,1.0,79.0,1177.0,121.0,55.0,2.0,22.0,22.0,66.0,0.0,0.0,0.0,0.0,4.0,14.0,25.0,1.07,19.0,3.0,1.0,1.0,1.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,25.0,13.0,0.0,17.0,25.0,68.0,8.0,28.0,15.0,13.0,22.0,60.0,102.0,3.0,1534.0,126.0,614.0,748.0,190.0,26.0,1534.0,21.0,11.0,52.4,7.0,33.3,825.0,3666.0,2176.0,29.0,20.0,4.0,11.0,5.0,982.0,41.0,70,61.7,25,83,16,5,9,8,1.33,27,38,-11,-0.47,-0.19,27.9,32.8,-5.0,-0.21,+0.44,6.0,0.0,0.0,18.0,11.0,2.0,0.0,1.0,106.0,56.0,21.0,72.7
Nasser Djiga,bf BFA,DF,21,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,bf BFA,DF,21.0,0.7,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,40.0,48.0,83.3,740.0,183.0,9.0,10.0,90.0,28.0,29.0,96.6,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,45.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,58.0,2.0,17.0,39.0,2.0,0.0,58.0,0.0,0.0,N/a,0.0,N/a,32.0,108.0,37.0,0.0,1.0,0.0,1.0,2.0,35.0,2.0,13,1.9,1,45,0,4,5,8,2.40,1,2,-1,-1.36,-0.99,0.7,1.2,-0.5,-0.70,-0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Nélson Semedo,pt POR,DF,30,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,DF,30.0,32.1,0.0,18.0,7.0,38.9,0.56,0.22,0.0,0.0,23.9,0.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,Matches,Wolves,1096.0,1357.0,80.8,16627.0,5130.0,598.0,653.0,91.6,409.0,490.0,83.5,59.0,128.0,46.1,4.0,2.8,1.7,1.2,25.0,70.0,28.0,13.0,80.0,1142.0,210.0,12.0,1.0,5.0,63.0,198.0,0.0,0.0,0.0,0.0,5.0,36.0,60.0,1.87,44.0,1.0,8.0,1.0,3.0,3.0,6.0,0.19,6.0,0.0,0.0,0.0,0.0,0.0,62.0,36.0,32.0,21.0,9.0,34.0,57.0,59.6,23.0,32.0,10.0,22.0,23.0,85.0,104.0,3.0,1717.0,123.0,483.0,788.0,467.0,27.0,1717.0,71.0,32.0,45.1,31.0,43.7,901.0,5223.0,2688.0,67.0,41.0,10.0,42.0,21.0,995.0,119.0,85,84.4,32,88,21,2,34,0,1.24,49,49,0,0.00,+2.53,36.6,47.2,-10.6,-0.33,+0.32,8.0,0.0,0.0,48.0,30.0,4.0,1.0,0.0,139.0,28.0,42.0,40.0
Opponent Total,N/a,N/a,26.2,38,418,3420,38.0,66,47,113,59,7,9,85,3,58.1,51.0,41.5,92.5,767,1534,1522,1.74,1.24,2.97,1.55,2.79,1.53,1.09,2.62,1.34,2.44,N/a,Wolves,N/a,N/a,26.2,38.0,38.0,3420.0,54.0,1.42,155.0,102.0,65.2,20.0,6.0,12.0,7.0,18.4,0.0,0.0,0.0,0.0,N/a,N/a,Wolves,1.0,5.0,1.0,45.1,0.29,-7.9,-0.21,140.0,421.0,33.3,1085.0,170.0,30.9,32.9,260.0,33.1,30.6,428.0,28.0,6.5,52.0,1.37,15.4,N/a,N/a,26.2,38.0,66.0,464.0,159.0,34.3,12.21,4.18,0.13,0.37,16.5,19.0,7.0,9.0,58.1,51.0,0.11,7.9,8.0,N/a,Wolves,15875.0,19341.0,82.1,273323.0,93838.0,7424.0,8257.0,89.9,6871.0,7817.0,87.9,1283.0,2372.0,54.1,47.0,41.5,35.5,5.5,358.0,1269.0,331.0,71.0,1534.0,17527.0,1738.0,510.0,62.0,78.0,714.0,659.0,217.0,133.0,43.0,0.0,76.0,353.0,832.0,21.89,598.0,87.0,41.0,45.0,49.0,12.0,117.0,3.08,79.0,10.0,7.0,9.0,11.0,1.0,684.0,422.0,277.0,300.0,107.0,315.0,639.0,49.3,324.0,392.0,110.0,282.0,308.0,992.0,805.0,38.0,23658.0,2351.0,7218.0,10397.0,6274.0,982.0,23649.0,778.0,296.0,38.0,373.0,47.9,13159.0,70747.0,36766.0,767.0,520.0,234.0,557.0,428.0,15750.0,1522.0,90,100,418,83,249,166,20,176,1.74,69,54,+15,+0.39,N/a,58.1,43.7,+14.5,+0.38,N/a,85.0,3.0,1.0,442.0,465.0,76.0,0.0,1.0,1609.0,475.0,451.0,51.3
Pablo Sarabia,es ESP,"MF,FW",32,23,7,814,9.0,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.6,15,60,62,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,es ESP,"MF,FW",32.0,9.0,3.0,17.0,8.0,47.1,1.88,0.88,0.18,0.38,18.9,2.0,0.0,0.0,2.9,2.9,0.17,0.1,0.1,Matches,Wolves,308.0,445.0,69.2,5160.0,1909.0,144.0,165.0,87.3,110.0,147.0,74.8,36.0,80.0,45.0,2.0,1.8,1.9,0.2,15.0,39.0,20.0,3.0,60.0,372.0,65.0,22.0,5.0,2.0,47.0,10.0,24.0,22.0,2.0,0.0,8.0,19.0,28.0,3.1,20.0,6.0,2.0,0.0,0.0,0.0,5.0,0.55,4.0,0.0,1.0,0.0,0.0,0.0,16.0,8.0,4.0,8.0,4.0,10.0,16.0,62.5,6.0,10.0,0.0,10.0,4.0,20.0,7.0,1.0,552.0,4.0,58.0,271.0,226.0,24.0,552.0,15.0,6.0,40.0,7.0,46.7,325.0,1497.0,731.0,15.0,15.0,0.0,22.0,14.0,387.0,62.0,35,23.8,7,63,0,16,23,7,1.25,14,19,-5,-0.55,-0.21,11.9,15.7,-3.7,-0.41,-0.04,3.0,0.0,0.0,16.0,15.0,5.0,0.0,0.0,34.0,5.0,14.0,26.3
Pedro Lima,br BRA,DF,18,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,DF,18.0,0.8,0.0,1.0,1.0,100.0,1.29,1.29,0.0,0.0,22.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,Wolves,28.0,38.0,73.7,457.0,188.0,14.0,17.0,82.4,11.0,14.0,78.6,3.0,5.0,60.0,0.0,0.1,0.1,-0.1,2.0,2.0,3.0,2.0,4.0,31.0,7.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,48.0,0.0,9.0,12.0,28.0,3.0,48.0,3.0,1.0,33.3,2.0,66.7,22.0,120.0,83.0,4.0,3.0,1.0,1.0,0.0,30.0,11.0,23,2.0,1,58,0,2,6,18,1.00,0,2,-2,-2.57,-2.22,1.4,0.7,+0.7,+0.90,+1.31,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0
