Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Dane Scarlett,eng ENG,"FW,MF",20,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",20.0,0.4,0.0,1.0,1.0,100.0,2.65,2.65,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Matches,Tottenham,3.0,5.0,60.0,37.0,20.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,3.0,5.0,1.0,1.0,9.0,0.0,0.0,N/a,0.0,N/a,5.0,66.0,33.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,11,1.0,0,N/a,0,3,11,3,2.00,3,1,+2,+5.29,+5.37,0.6,0.8,-0.2,-0.65,-0.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Dante Cassanova,jm JAM,DF,20,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Dejan Kulusevski,se SWE,"MF,FW",24,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,se SWE,"MF,FW",24.0,26.5,7.0,47.0,17.0,36.2,1.77,0.64,0.15,0.41,14.7,0.0,0.0,0.0,4.2,4.2,0.09,2.8,2.8,Matches,Tottenham,658.0,893.0,73.7,9216.0,2920.0,394.0,457.0,86.2,203.0,260.0,78.1,32.0,79.0,40.5,4.0,6.2,3.9,-2.2,65.0,62.0,52.0,6.0,124.0,800.0,84.0,4.0,11.0,1.0,89.0,6.0,62.0,26.0,0.0,0.0,9.0,42.0,128.0,4.82,95.0,12.0,15.0,3.0,3.0,0.0,9.0,0.34,7.0,1.0,1.0,0.0,0.0,0.0,45.0,23.0,17.0,13.0,15.0,19.0,51.0,37.3,32.0,34.0,5.0,29.0,13.0,58.0,10.0,1.0,1276.0,24.0,149.0,432.0,719.0,158.0,1276.0,117.0,38.0,32.5,71.0,60.7,823.0,6157.0,3208.0,120.0,67.0,40.0,77.0,74.0,895.0,210.0,75,69.9,27,84,22,5,24,0,1.06,50,41,+9,+0.34,+1.21,44.9,43.1,+1.8,+0.07,+0.62,3.0,0.0,0.0,48.0,38.0,5.0,0.0,0.0,0.0,121.0,10.0,15.0,40.0
Destiny Udogie,it ITA,DF,21,25,24,1924,21.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,121,94,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,it ITA,DF,21.0,21.4,0.0,5.0,1.0,20.0,0.23,0.05,0.0,0.0,15.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Matches,Tottenham,972.0,1115.0,87.2,14117.0,4770.0,544.0,597.0,91.1,371.0,412.0,90.0,26.0,33.0,78.8,1.0,1.5,1.2,-0.5,16.0,89.0,6.0,1.0,121.0,944.0,170.0,28.0,0.0,0.0,19.0,142.0,0.0,0.0,0.0,0.0,1.0,34.0,36.0,1.68,31.0,0.0,0.0,1.0,1.0,3.0,3.0,0.14,2.0,0.0,0.0,0.0,0.0,1.0,75.0,47.0,42.0,26.0,7.0,33.0,48.0,68.8,15.0,40.0,6.0,34.0,22.0,97.0,36.0,1.0,1376.0,63.0,394.0,609.0,389.0,49.0,1376.0,32.0,13.0,40.6,16.0,50.0,758.0,4340.0,2352.0,54.0,40.0,12.0,37.0,19.0,819.0,94.0,77,56.3,24,80,14,1,4,5,1.12,36,35,+1,+0.05,+0.17,34.5,33.3,+1.2,+0.06,+0.40,2.0,0.0,0.0,29.0,38.0,3.0,0.0,0.0,1.0,111.0,13.0,13.0,50.0
Djed Spence,eng ENG,DF,23,25,19,1792,19.9,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.05,0.10,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,23.0,19.9,1.0,10.0,3.0,30.0,0.5,0.15,0.1,0.33,23.9,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,Matches,Tottenham,992.0,1161.0,85.4,14185.0,4261.0,585.0,622.0,94.1,343.0,400.0,85.8,32.0,67.0,47.8,2.0,1.8,1.4,0.2,11.0,78.0,18.0,8.0,105.0,974.0,183.0,30.0,2.0,2.0,25.0,153.0,0.0,0.0,0.0,0.0,4.0,19.0,29.0,1.46,23.0,1.0,4.0,1.0,0.0,0.0,5.0,0.25,3.0,1.0,1.0,0.0,0.0,0.0,47.0,34.0,25.0,15.0,7.0,23.0,30.0,76.7,7.0,28.0,9.0,19.0,21.0,68.0,74.0,2.0,1428.0,81.0,500.0,641.0,309.0,25.0,1428.0,76.0,38.0,50.0,31.0,40.8,794.0,4661.0,2481.0,59.0,44.0,7.0,28.0,33.0,872.0,70.0,72,52.4,19,89,17,6,16,8,1.08,33,39,-6,-0.30,-0.58,28.2,35.3,-7.1,-0.36,-0.50,4.0,1.0,1.0,21.0,23.0,2.0,0.0,0.0,1.0,109.0,21.0,14.0,60.0
Dominic Solanke,eng ENG,FW,26,27,25,2201,24.5,9,3,12,8,1,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,26.0,24.5,9.0,59.0,24.0,40.7,2.41,0.98,0.14,0.33,12.4,0.0,1.0,1.0,10.9,10.1,0.17,-1.9,-2.1,Matches,Tottenham,255.0,361.0,70.6,3429.0,944.0,154.0,205.0,75.1,68.0,87.0,78.2,12.0,18.0,66.7,3.0,2.9,1.2,0.1,14.0,28.0,9.0,0.0,47.0,321.0,38.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,15.0,37.0,1.51,25.0,0.0,0.0,9.0,2.0,1.0,8.0,0.33,6.0,0.0,0.0,1.0,1.0,0.0,18.0,11.0,1.0,12.0,5.0,4.0,16.0,25.0,12.0,20.0,9.0,11.0,1.0,19.0,23.0,0.0,655.0,33.0,74.0,299.0,288.0,112.0,654.0,51.0,17.0,33.3,31.0,60.8,385.0,2126.0,848.0,31.0,23.0,14.0,69.0,51.0,459.0,88.0,82,64.4,25,86,18,2,21,1,0.89,45,43,+2,+0.08,+0.30,40.4,40.6,-0.2,-0.01,+0.30,0.0,0.0,0.0,36.0,36.0,5.0,0.0,0.0,1.0,38.0,46.0,60.0,43.4
Fraser Forster,eng ENG,GK,36,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham,eng ENG,GK,36.0,7.0,630.0,15.0,2.14,42.0,27.0,69.0,1.0,2.0,4.0,1.0,14.3,2.0,2.0,0.0,0.0,0.0,Matches,Tottenham,1.0,0.0,16.5,0.36,1.5,0.21,11.0,31.0,35.5,141.0,30.0,21.3,27.2,56.0,1.8,14.6,81.0,4.0,4.9,3.0,0.43,11.1,eng ENG,GK,36.0,7.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Tottenham,168.0,198.0,84.8,3349.0,2105.0,54.0,55.0,98.2,86.0,90.0,95.6,23.0,47.0,48.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,72.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,228.0,212.0,228.0,0.0,0.0,0.0,228.0,1.0,1.0,100.0,0.0,0.0,113.0,501.0,264.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,90,18.4,7,90,7,0,N/a,11,0.71,14,15,-1,-0.14,-0.14,11.1,16.0,-4.9,-0.70,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Guglielmo Vicario,it ITA,GK,27,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham,it ITA,GK,27.0,24.0,2160.0,37.0,1.54,102.0,67.0,64.7,9.0,3.0,12.0,4.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches,Tottenham,6.0,2.0,37.4,0.36,2.4,0.1,28.0,95.0,29.5,809.0,120.0,10.5,22.8,65.0,15.4,22.8,312.0,30.0,9.6,31.0,1.29,13.3,it ITA,GK,27.0,24.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Tottenham,764.0,874.0,87.4,15137.0,8856.0,237.0,239.0,99.2,431.0,446.0,96.6,89.0,180.0,49.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,773.0,101.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,1.0,1.0,14.0,6.0,928.0,626.0,910.0,18.0,0.0,0.0,928.0,1.0,1.0,100.0,0.0,0.0,661.0,3067.0,1700.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,90,63.2,24,90,24,0,N/a,2,1.25,43,37,+6,+0.25,+0.75,41.8,33.2,+8.6,+0.36,+1.29,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,9.0,0.0,100.0
James Maddison,eng ENG,MF,27,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,27.0,20.1,9.0,39.0,17.0,43.6,1.94,0.85,0.23,0.53,16.7,6.0,0.0,0.0,5.8,5.8,0.15,3.2,3.2,Matches,Tottenham,1021.0,1256.0,81.3,16664.0,5028.0,481.0,529.0,90.9,424.0,492.0,86.2,75.0,162.0,46.3,7.0,4.2,5.9,2.8,41.0,123.0,32.0,5.0,164.0,1118.0,132.0,48.0,12.0,5.0,98.0,5.0,59.0,37.0,8.0,0.0,6.0,15.0,95.0,4.73,66.0,13.0,7.0,3.0,6.0,0.0,18.0,0.9,12.0,2.0,3.0,1.0,0.0,0.0,31.0,19.0,8.0,16.0,7.0,9.0,29.0,31.0,20.0,15.0,4.0,11.0,12.0,43.0,19.0,1.0,1464.0,26.0,210.0,691.0,576.0,77.0,1464.0,77.0,33.0,42.9,34.0,44.2,1026.0,5128.0,2279.0,45.0,39.0,20.0,23.0,25.0,1125.0,95.0,58,52.9,21,75,1,10,24,1,1.10,37,32,+5,+0.25,+0.58,31.5,33.0,-1.5,-0.08,+0.09,6.0,0.0,0.0,32.0,64.0,4.0,0.0,0.0,0.0,76.0,5.0,7.0,41.7
Kevin Danso,at AUT,DF,25,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,at AUT,DF,25.0,9.4,0.0,7.0,3.0,42.9,0.75,0.32,0.0,0.0,16.9,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,Matches,Tottenham,480.0,555.0,86.5,9082.0,2716.0,146.0,163.0,89.6,297.0,320.0,92.8,33.0,61.0,54.1,0.0,0.1,0.1,-0.1,2.0,22.0,2.0,1.0,19.0,534.0,21.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.96,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,3.0,0.0,6.0,11.0,54.5,5.0,15.0,14.0,1.0,6.0,13.0,71.0,1.0,676.0,108.0,394.0,257.0,29.0,8.0,676.0,3.0,2.0,66.7,1.0,33.3,448.0,2428.0,1195.0,11.0,5.0,1.0,8.0,3.0,475.0,1.0,84,24.6,9,89,8,1,45,0,0.80,11,18,-7,-0.75,-0.96,11.7,17.0,-5.3,-0.57,-0.59,0.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,27.0,21.0,12.0,63.6
Luca Williams Barnett,eng ENG,FW,15,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Lucas Bergvall,se SWE,MF,18,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,se SWE,MF,18.0,13.5,0.0,12.0,2.0,16.7,0.89,0.15,0.0,0.0,19.9,0.0,0.0,0.0,0.7,0.7,0.06,-0.7,-0.7,Matches,Tottenham,629.0,720.0,87.4,10567.0,2202.0,295.0,321.0,91.9,264.0,294.0,89.8,53.0,71.0,74.6,1.0,0.6,0.8,0.4,11.0,53.0,7.0,3.0,49.0,675.0,44.0,21.0,0.0,8.0,21.0,10.0,8.0,5.0,2.0,0.0,1.0,11.0,22.0,1.63,16.0,4.0,0.0,2.0,0.0,0.0,4.0,0.3,3.0,0.0,0.0,1.0,0.0,0.0,39.0,19.0,14.0,20.0,5.0,17.0,32.0,53.1,15.0,18.0,8.0,10.0,24.0,63.0,22.0,3.0,885.0,36.0,188.0,478.0,232.0,22.0,885.0,45.0,21.0,46.7,20.0,44.4,531.0,3392.0,1634.0,33.0,21.0,4.0,20.0,19.0,586.0,31.0,45,35.4,11,81,6,16,20,7,1.11,29,25,+4,+0.30,+0.50,20.9,24.4,-3.5,-0.26,-0.22,3.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,73.0,9.0,8.0,52.9
Maeson King,eng ENG,DF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Tottenham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
