Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Michail Antonio,jm JAM,FW,34.0,14,11,836.0,9.3,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.2,2.2,1.6,3.8,29.0,18.0,59.0,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,jm JAM,FW,34.0,19.0,4.0,21.1,2.05,0.43,0.05,0.25,12.6,0.0,0.12,-1.2,-1.2,Matches,West Ham,114.0,188.0,60.6,2183.0,424.0,52.0,72.0,72.2,37.0,62.0,59.7,22.0,31.0,71.0,0.9,-0.6,9.0,11.0,6.0,2.0,175.0,11.0,0.0,3.0,6.0,25.0,7.0,0.0,0.0,0.0,0.0,2.0,14.0,22.0,2.37,14.0,0.0,1.0,5.0,1.0,1.0,4.0,0.43,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,66.7,1.0,6.0,0.0,6.0,0.0,2.0,2.0,0.0,296.0,3.0,26.0,124.0,151.0,36.0,296.0,27.0,9.0,33.3,13.0,48.1,173.0,1177.0,695.0,13.0,9.0,35.0,19.0,221.0,60.0,24.4,66.0,0,3,37.0,0,1.07,13.0,18.0,-5.0,-0.54,-0.16,11.4,17.8,-6.4,-0.69,-0.47,0.0,12.0,7.0,4.0,0.0,0.0,0.0,22.0,17.0,22.0,43.6
Mohammed Kudus,gh GHA,"FW,MF",23.0,32,31,2590.0,28.8,5.0,3.0,8.0,5.0,0.0,2.0,1.0,6.9,6.9,3.1,10.0,98.0,79.0,216.0,0.17,0.1,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gh GHA,"FW,MF",23.0,75.0,21.0,28.0,2.61,0.73,0.07,0.24,16.0,0.0,0.09,-1.9,-1.9,Matches,West Ham,715.0,855.0,83.6,11695.0,1800.0,381.0,421.0,90.5,256.0,288.0,88.9,58.0,85.0,68.2,2.7,-0.1,31.0,46.0,29.0,15.0,837.0,16.0,5.0,2.0,13.0,81.0,3.0,1.0,0.0,0.0,0.0,2.0,29.0,107.0,3.72,74.0,1.0,16.0,12.0,2.0,2.0,10.0,0.35,6.0,0.0,1.0,3.0,0.0,0.0,38.0,23.0,9.0,18.0,11.0,10.0,27.0,37.0,17.0,24.0,1.0,23.0,4.0,42.0,8.0,2.0,1274.0,13.0,171.0,536.0,612.0,127.0,1274.0,208.0,92.0,44.2,98.0,47.1,842.0,5574.0,2613.0,59.0,42.0,77.0,93.0,989.0,81.0,75.7,83.0,14,1,19.0,0,1.13,33.0,46.0,-13.0,-0.45,-0.13,34.1,42.9,-8.9,-0.31,0.11,0.0,39.0,64.0,18.0,0.0,0.0,0.0,138.0,11.0,40.0,21.6
Niclas Füllkrug,de GER,FW,31.0,18,6,790.0,8.8,3.0,2.0,5.0,3.0,0.0,2.0,0.0,2.2,2.2,1.9,4.1,7.0,14.0,31.0,0.34,0.23,0.57,0.34,0.57,0.25,0.22,0.46,0.25,0.46,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,de GER,FW,31.0,16.0,7.0,43.8,1.82,0.8,0.19,0.43,10.3,0.0,0.14,0.8,0.8,Matches,West Ham,133.0,198.0,67.2,1852.0,314.0,83.0,108.0,76.9,35.0,58.0,60.3,7.0,13.0,53.8,0.4,0.1,14.0,12.0,5.0,0.0,190.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,22.0,2.5,20.0,0.0,0.0,2.0,0.0,0.0,2.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,1.0,5.0,16.0,0.0,277.0,19.0,27.0,142.0,110.0,40.0,277.0,8.0,1.0,12.5,6.0,75.0,123.0,435.0,215.0,4.0,2.0,18.0,7.0,205.0,44.0,23.1,74.0,1,12,29.0,1,0.94,16.0,18.0,-2.0,-0.23,0.25,13.2,14.0,-0.9,-0.1,0.31,0.0,21.0,6.0,10.0,0.0,0.0,0.0,18.0,39.0,52.0,42.9
Oliver Scarles,eng ENG,"DF,FW",18.0,15,7,665.0,7.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,12.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"DF,FW",18.0,3.0,0.0,0.0,0.41,0.0,0.0,N/a,20.2,0.0,0.04,-0.1,-0.1,Matches,West Ham,293.0,372.0,78.8,4388.0,1151.0,174.0,196.0,88.8,106.0,126.0,84.1,11.0,37.0,29.7,0.1,-0.1,2.0,10.0,5.0,1.0,333.0,36.0,4.0,1.0,1.0,15.0,32.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,0.81,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,17.0,3.0,1.0,14.0,22.0,63.6,8.0,14.0,2.0,12.0,11.0,32.0,26.0,0.0,466.0,32.0,159.0,179.0,133.0,9.0,466.0,7.0,2.0,28.6,5.0,71.4,219.0,871.0,483.0,9.0,2.0,12.0,3.0,272.0,44.0,19.4,70.0,2,8,22.0,6,1.13,6.0,9.0,-3.0,-0.41,0.02,8.3,9.9,-1.6,-0.22,0.14,0.0,5.0,3.0,1.0,0.0,0.0,0.0,34.0,6.0,6.0,50.0
Opponent Total,N/a,N/a,26.1,38,418,3420.0,38.0,59.0,45.0,104.0,56.0,3.0,56.0,1.0,59.7,57.4,47.6,105.0,832.0,1622.0,1610.0,1.55,1.18,2.74,1.47,2.66,1.57,1.25,2.82,1.51,2.76,N/a,West Ham,N/a,N/a,26.1,38.0,38.0,3420.0,38.0,46.0,1.21,140.0,97.0,69.3,17.0,10.0,11.0,8.0,21.1,3.0,0.0,0.0,N/a,West Ham,1.0,5.0,3.0,43.7,0.3,0.7,0.02,164.0,494.0,33.2,1101.0,146.0,36.4,34.1,239.0,38.9,33.2,454.0,35.0,7.7,39.0,1.03,14.1,N/a,N/a,26.1,580.0,183.0,31.6,15.26,4.82,0.1,0.31,16.9,18.0,0.1,-0.7,-1.4,N/a,West Ham,15814.0,19489.0,81.1,272231.0,91982.0,7440.0,8388.0,88.7,6663.0,7690.0,86.6,1367.0,2532.0,54.0,43.0,-2.6,456.0,1386.0,392.0,97.0,17708.0,1726.0,494.0,79.0,79.0,811.0,701.0,208.0,108.0,44.0,7.0,55.0,324.0,1041.0,27.39,797.0,81.0,30.0,66.0,48.0,19.0,99.0,2.61,69.0,7.0,6.0,8.0,6.0,3.0,752.0,435.0,322.0,310.0,120.0,360.0,707.0,50.9,347.0,431.0,144.0,287.0,298.0,1050.0,836.0,23.0,23805.0,2423.0,7191.0,10213.0,6620.0,1094.0,23802.0,605.0,242.0,40.0,290.0,47.9,13771.0,74244.0,39404.0,510.0,242.0,512.0,364.0,15670.0,90.0,100.0,81.0,256,162,18.0,180,1.61,62.0,46.0,16.0,0.42,N/a,59.7,47.0,12.7,0.33,N/a,0.0,410.0,428.0,55.0,3.0,3.0,3.0,1582.0,560.0,587.0,48.8
Squad Total,N/a,N/a,28.1,38,418,3420.0,38.0,43.0,29.0,72.0,40.0,3.0,82.0,3.0,47.0,44.7,33.9,78.6,632.0,1222.0,1214.0,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,N/a,West Ham,N/a,N/a,28.1,38.0,38.0,3420.0,38.0,62.0,1.63,186.0,127.0,68.3,11.0,10.0,17.0,7.0,18.4,3.0,0.0,0.0,N/a,West Ham,1.0,8.0,3.0,57.9,0.3,-1.1,-0.03,212.0,610.0,34.8,1167.0,174.0,37.4,32.1,311.0,55.9,41.9,614.0,25.0,4.1,42.0,1.11,15.0,N/a,N/a,28.1,473.0,137.0,29.0,12.45,3.61,0.08,0.29,16.3,14.0,0.1,-4.0,-4.7,N/a,West Ham,14820.0,18363.0,80.7,258653.0,90743.0,6989.0,7831.0,89.2,6245.0,7153.0,87.3,1346.0,2580.0,52.2,32.0,-4.9,331.0,1075.0,267.0,72.0,16678.0,1612.0,437.0,53.0,133.0,613.0,612.0,152.0,82.0,57.0,1.0,73.0,343.0,815.0,21.45,582.0,69.0,48.0,65.0,34.0,17.0,67.0,1.76,42.0,5.0,3.0,13.0,3.0,1.0,654.0,388.0,317.0,253.0,84.0,290.0,532.0,54.5,242.0,440.0,169.0,271.0,331.0,985.0,1037.0,28.0,22887.0,2942.0,8352.0,9852.0,4896.0,839.0,22884.0,793.0,347.0,43.8,360.0,45.4,11796.0,59439.0,29684.0,394.0,175.0,492.0,392.0,14712.0,90.0,100.0,81.0,243,172,22.0,170,1.13,46.0,62.0,-16.0,-0.42,N/a,47.0,59.7,-12.7,-0.33,N/a,2.0,443.0,397.0,73.0,2.0,3.0,3.0,1558.0,587.0,560.0,51.2
Tomáš Souček,cz CZE,MF,29.0,35,30,2567.0,28.5,9.0,1.0,10.0,9.0,0.0,8.0,0.0,6.7,6.7,1.0,7.8,9.0,74.0,68.0,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cz CZE,MF,29.0,55.0,17.0,30.9,1.93,0.6,0.16,0.53,11.9,0.0,0.13,2.3,2.3,Matches,West Ham,715.0,969.0,73.8,11811.0,3221.0,364.0,457.0,79.6,265.0,343.0,77.3,65.0,97.0,67.0,1.3,0.0,14.0,62.0,8.0,1.0,946.0,20.0,17.0,0.0,11.0,14.0,3.0,0.0,0.0,0.0,0.0,3.0,26.0,44.0,1.54,35.0,0.0,0.0,6.0,2.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,0.0,46.0,21.0,20.0,23.0,3.0,26.0,44.0,59.1,18.0,41.0,21.0,20.0,20.0,66.0,85.0,1.0,1280.0,128.0,355.0,626.0,303.0,102.0,1280.0,12.0,6.0,50.0,6.0,50.0,506.0,1553.0,559.0,12.0,3.0,20.0,15.0,764.0,73.0,75.1,81.0,20,5,27.0,1,1.23,38.0,44.0,-6.0,-0.21,0.84,37.6,43.3,-5.7,-0.2,0.53,0.0,47.0,25.0,4.0,1.0,0.0,0.0,63.0,99.0,73.0,57.6
Vladimír Coufal,cz CZE,DF,31.0,22,11,1067.0,11.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,26.0,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cz CZE,DF,31.0,7.0,2.0,28.6,0.59,0.17,0.0,0.0,15.5,0.0,0.04,-0.3,-0.3,Matches,West Ham,470.0,598.0,78.6,7419.0,2842.0,247.0,272.0,90.8,184.0,228.0,80.7,28.0,72.0,38.9,1.0,-0.7,8.0,44.0,13.0,8.0,490.0,106.0,11.0,0.0,0.0,28.0,95.0,0.0,0.0,0.0,0.0,2.0,11.0,18.0,1.52,14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,22.0,15.0,13.0,7.0,2.0,10.0,22.0,45.5,12.0,13.0,11.0,2.0,8.0,30.0,39.0,1.0,736.0,61.0,262.0,318.0,159.0,14.0,736.0,15.0,5.0,33.3,7.0,46.7,298.0,1754.0,888.0,10.0,2.0,12.0,8.0,400.0,49.0,31.2,78.0,5,11,19.0,11,1.0,12.0,21.0,-9.0,-0.76,-0.49,17.3,19.5,-2.1,-0.18,0.22,0.0,22.0,16.0,0.0,0.0,0.0,1.0,39.0,23.0,16.0,59.0
Wes Foderingham,eng ENG,GK,33.0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,9,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Łukasz Fabiański,pl POL,GK,39.0,14,13,1160.0,12.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,West Ham,pl POL,GK,39.0,14.0,13.0,1160.0,12.9,21.0,1.63,71.0,50.0,74.6,6.0,3.0,4.0,2.0,15.4,3.0,0.0,0.0,Matches,West Ham,1.0,3.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,100.0,61.0,45.1,220.0,10.0,4.5,12.0,0.93,13.1,pl POL,GK,39.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,West Ham,332.0,495.0,67.1,9586.0,6808.0,59.0,59.0,100.0,159.0,160.0,99.4,114.0,275.0,41.5,0.0,0.0,0.0,5.0,0.0,0.0,351.0,143.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,530.0,414.0,525.0,5.0,0.0,0.0,530.0,3.0,3.0,100.0,0.0,0.0,285.0,1485.0,890.0,0.0,0.0,0.0,0.0,248.0,83.0,33.9,86.0,12,1,45.0,21,1.5,17.0,21.0,-4.0,-0.31,0.17,16.9,22.4,-5.5,-0.43,-0.14,0.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,75.0
