Player,Team,Position_group,market_value_million,predicted_value_million
José Sá,Wolves,GK,7.0,9.865166666666665
João Gomes,Wolves,MID,40.0,35.84
Jørgen Strand Larsen,Wolves,FWD,30.0,29.83
Mario Lemina,Wolves,DEF,7.5,6.716
Marshall Munetsi,Wolves,MID,15.0,16.488333333333333
Matheus Cunha,Wolves,MID,60.0,44.096666666666664
Matt Doherty,Wolves,DEF,2.0,9.006
Nélson Semedo,Wolves,DEF,9.0,11.744
Pablo Sarabia,Wolves,MID,5.0,6.861833333333334
Rayan Aït-Nouri,Wolves,DEF,35.0,34.583333333333336
Rodrigo Gomes,Wolves,DEF,15.0,15.84
Sam Johnstone,Wolves,GK,6.0,4.543000000000002
Santiago Bueno,Wolves,DEF,10.0,14.157333333333332
Tommy Doyle,Wolves,MID,10.0,12.55
Toti Gomes,Wolves,DEF,,28.273333333333333
Yerson Mosquera,Wolves,DEF,8.0,9.0
