Player,Team,Position_group,market_value_million,predicted_value_million
Ferdi Kadioglu,Brighton,DEF,25.0,20.591666666666665
Georginio Rutter,Brighton,MID,32.0,32.486666666666665
Igor,Brighton,DEF,,26.68166666666667
Jack Hinshelwood,Brighton,DEF,24.0,27.536666666666665
James Milner,Brighton,MID,1.0,1.6123333333333334
Jan Paul van Hecke,Brighton,DEF,32.0,34.586666666666666
Jason Steele,Brighton,GK,1.5,1.469166666666667
João Pedro,Brighton,MID,50.0,45.62
Joël Veltman,Brighton,DEF,4.0,8.154
Julio Enciso,Brighton,MID,22.0,20.593333333333334
Kaoru Mitoma,Brighton,MID,40.0,39.51
Lewis Dunk,Brighton,DEF,6.0,8.408
Mats Wieffer,Brighton,DEF,25.0,23.79
Matt O'Riley,Brighton,MID,22.0,22.6
Pervis Estupiñán,Brighton,DEF,30.0,29.31
Simon Adingra,Brighton,MID,28.0,27.346666666666668
Solly March,Brighton,MID,6.0,6.215333333333334
Tariq Lamptey,Brighton,DEF,11.0,13.673333333333334
Yankuba Minteh,Brighton,MID,30.0,31.116666666666667
Yasin Ayari,Brighton,MID,22.0,29.22
Axel Disasi,Chelsea,DEF,22.0,22.323333333333334
Axel Disasi,Chelsea,DEF,22.0,22.323333333333334
Benoît Badiashile,Chelsea,DEF,22.0,21.41
Christopher Nkunku,Chelsea,FWD,35.0,31.79
Cole Palmer,Chelsea,MID,120.0,111.46
Enzo Fernández,Chelsea,MID,75.0,76.93666666666667
Filip Jørgensen,Chelsea,GK,18.0,17.75
Jadon Sancho,Chelsea,FWD,28.0,43.00333333333333
Joshua Acheampong,Chelsea,DEF,8.0,10.206666666666667
João Félix,Chelsea,MID,20.0,24.696666666666665
Kiernan Dewsbury-Hall,Chelsea,MID,20.0,18.116666666666667
Levi Colwill,Chelsea,DEF,55.0,49.56666666666667
Malo Gusto,Chelsea,DEF,35.0,35.35666666666667
Marc Cucurella,Chelsea,DEF,35.0,48.553333333333335
Moisés Caicedo,Chelsea,DEF,90.0,80.97666666666667
Mykhailo Mudryk,Chelsea,FWD,,17.458333333333332
Nicolas Jackson,Chelsea,FWD,50.0,44.166666666666664
Noni Madueke,Chelsea,FWD,40.0,42.86666666666667
Pedro Neto,Chelsea,FWD,50.0,48.903333333333336
Reece James,Chelsea,DEF,30.0,25.741666666666667
Renato Veiga,Chelsea,DEF,25.0,19.793333333333333
Robert Sánchez,Chelsea,GK,20.0,25.923333333333332
Roméo Lavia,Chelsea,MID,40.0,34.70666666666666
Tosin Adarabioyo,Chelsea,DEF,20.0,26.52
Trevoh Chalobah,Chelsea,DEF,25.0,26.04
Trevoh Chalobah,Chelsea,DEF,25.0,26.04
Tyrique George,Chelsea,FWD,10.0,13.973333333333333
Wesley Fofana,Chelsea,DEF,25.0,27.133333333333333
Adam Wharton,Crystal Palace,MID,45.0,35.626666666666665
Ben Chilwell,Crystal Palace,DEF,15.0,16.416666666666668
Cheick Doucouré,Crystal Palace,MID,25.0,18.284166666666668
Chris Richards,Crystal Palace,DEF,14.0,18.543333333333333
Daichi Kamada,Crystal Palace,MID,12.0,15.246666666666666
Daniel Muñoz,Crystal Palace,DEF,25.0,26.253333333333334
Dean Henderson,Crystal Palace,GK,20.0,21.816666666666666
Eberechi Eze,Crystal Palace,MID,55.0,49.22
Eddie Nketiah,Crystal Palace,MID,18.0,21.286666666666665
Ismaila Sarr,Crystal Palace,MID,25.0,30.913333333333334
Jean-Philippe Mateta,Crystal Palace,FWD,30.0,31.96
Jefferson Lerma,Crystal Palace,DEF,10.0,10.91
Jeffrey Schlupp,Crystal Palace,DEF,3.0,5.0808333333333335
Justin Devenny,Crystal Palace,MID,6.0,10.636666666666667
